Couldn't read values in CFPrefsPlistSource<0x1079aea00> (Domain: group.io.sergeyshmagin.kdbchat, User: kCFPreferencesAnyUser, ByHost: Yes, Container: (null), Contents Need Refresh: Yes): Using kCFPreferencesAnyUser with a container is only allowed for System Containers, detaching from cfprefsd
2025-08-03T17:58:03.598306Z  INFO matrix_sdk_ffi::platform: Logging has been set up env_filter="panic=error,hyper=warn,matrix_sdk_ffi=info,matrix_sdk=info,matrix_sdk::client=trace,matrix_sdk_crypto=debug,matrix_sdk_crypto::olm::account=trace,matrix_sdk::oidc=trace,matrix_sdk::http_client=debug,matrix_sdk::sliding_sync=info,matrix_sdk_base::sliding_sync=info,matrix_sdk_ui::timeline=info,matrix_sdk::send_queue=info,matrix_sdk::event_cache=info,matrix_sdk_base::event_cache=info,matrix_sdk_sqlite::event_cache_store=info,matrix_sdk_common::store_locks=warn,matrix_sdk_base::store::ambiguity_map=warn,matrix_sdk_ui::notification_client=info,elementx=info" | bindings/matrix-sdk-ffi/src/platform.rs:483
2025-08-03T17:58:03.601456Z  INFO elementx: kdbchat 26.1.2 (15) | AppCoordinator.swift:203 | spans: root
2025-08-03T17:58:03.603697Z  INFO elementx: LiveKitCallKitService initialized | LiveKitCallKitService.swift:84 | spans: root
2025-08-03T17:58:03.612220Z  INFO elementx: NavigationRootCoordinator(ElementX.SplashScreenCoordinator Set root: ElementX.SplashScreenCoordinator | NavigationRootCoordinator.swift:149 | spans: root
2025-08-03T17:58:03.709727Z  INFO elementx: Sentry configured (enabled: false) | AppCoordinator.swift:1334 | spans: root
2025-08-03T17:58:03.715777Z  INFO elementx: [NotificationManager] app setting 'enableNotifications' is 'true' | NotificationManager.swift:65 | spans: root
2025-08-03T17:58:03.715830Z  INFO elementx: [NotificationManager] VoIP calls will use regular push notifications with .voip topic | NotificationManager.swift:76 | spans: root
2025-08-03T17:58:03.723427Z  INFO elementx: Reachability changed to reachable | AppCoordinator.swift:1203 | spans: root
2025-08-03T17:58:03.726079Z  INFO elementx: Register background app refresh with result: true | AppCoordinator.swift:1513 | spans: root
2025-08-03T17:58:03.903687Z  INFO elementx: Reachability changed to reachable | AppCoordinator.swift:1203 | spans: root
2025-08-03T17:58:03.916500Z  INFO elementx: Transitioning from `initial` to `signedOut` with event `startWithAuthentication` | AppCoordinatorStateMachine.swift:92 | spans: root
2025-08-03T17:58:03.926602Z  INFO elementx: NavigationStackCoordinator(ElementX.LoginScreenCoordinator) Set root: ElementX.LoginScreenCoordinator | NavigationCoordinators.swift:759 | spans: root
2025-08-03T17:58:03.928126Z  INFO elementx: NavigationRootCoordinator(NavigationStackCoordinator(ElementX.LoginScreenCoordinator) Set root: NavigationStackCoordinator(ElementX.LoginScreenCoordinator) | NavigationRootCoordinator.swift:149 | spans: root
2025-08-03T17:58:03.932205Z  INFO elementx: Transitioning from `initial` to `startScreen` with event `Optional(ElementX.AuthenticationFlowCoordinator.Event.start)`. | AuthenticationFlowCoordinator.swift:259 | spans: root
2025-08-03T17:58:03.939946Z  INFO elementx: Application did become active | AppCoordinator.swift:1486 | spans: root
2025-08-03T17:58:04.085747Z  INFO elementx: Auto-configuring server: matrix.aibots.kz | LoginScreenViewModel.swift:184 | spans: root
2025-08-03T17:58:04.114244Z  INFO elementx: Starting server configuration for: matrix.aibots.kz | AuthenticationService.swift:46 | spans: root
2025-08-03T17:58:04.114301Z  INFO elementx: Creating client builder for: matrix.aibots.kz | AuthenticationService.swift:50 | spans: root
2025-08-03T17:58:04.115019Z  INFO elementx: Building client for: matrix.aibots.kz | AuthenticationService.swift:53 | spans: root
spawning a multithreaded tokio runtime
2025-08-03T17:58:04.135065Z DEBUG matrix_sdk::client::builder: Starting to build the Client | crates/matrix-sdk/src/client/builder/mod.rs:506 | spans: root > build
2025-08-03T17:58:04.404947Z DEBUG matrix_sdk::client::builder::homeserver_config: Trying to discover the homeserver | crates/matrix-sdk/src/client/builder/homeserver_config.rs:175 | spans: root > build{homeserver=ServerNameOrHomeserverUrl("matrix.aibots.kz")}
2025-08-03T17:58:04.406025Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: root > build{homeserver=ServerNameOrHomeserverUrl("matrix.aibots.kz")} > send{request_id="REQ-0" method=GET uri="https://matrix.aibots.kz/.well-known/matrix/client"}
2025-08-03T17:58:04.467396Z DEBUG matrix_sdk::http_client: Got response | crates/matrix-sdk/src/http_client/mod.rs:214 | spans: root > build{homeserver=ServerNameOrHomeserverUrl("matrix.aibots.kz")} > send{request_id="REQ-0" method=GET uri="https://matrix.aibots.kz/.well-known/matrix/client" status=200 response_size="2.0k"}
