ElementX Log Export
Generated: 2025-08-01 09:24:53 +0000
Bundle ID: io.sergeyshmagin.kdbchat
App Version: 26.1.2 (19)
Log Level: Info

=== COMBINED LOGS ===

=== LOG FILE 1: console.2025-08-01-09.log ===
2025-08-01T09:23:23.748966Z  INFO matrix_sdk_ffi::platform: Logging has been set up env_filter="panic=error,hyper=warn,matrix_sdk_ffi=info,matrix_sdk=info,matrix_sdk::client=trace,matrix_sdk_crypto=debug,matrix_sdk_crypto::olm::account=trace,matrix_sdk::oidc=trace,matrix_sdk::http_client=debug,matrix_sdk::sliding_sync=info,matrix_sdk_base::sliding_sync=info,matrix_sdk_ui::timeline=info,matrix_sdk::send_queue=info,matrix_sdk::event_cache=info,matrix_sdk_base::event_cache=info,matrix_sdk_sqlite::event_cache_store=info,matrix_sdk_common::store_locks=warn,matrix_sdk_base::store::ambiguity_map=warn,matrix_sdk_ui::notification_client=info,elementx=info" | bindings/matrix-sdk-ffi/src/platform.rs:483
2025-08-01T09:23:23.752611Z  INFO elementx: kdbchat 26.1.2 (19) | AppCoordinator.swift:203 | spans: root
2025-08-01T09:23:23.756654Z  INFO elementx: LiveKitCallKitService initialized | LiveKitCallKitService.swift:84 | spans: root
2025-08-01T09:23:23.758721Z  INFO elementx: NavigationRootCoordinator(ElementX.SplashScreenCoordinator Set root: ElementX.SplashScreenCoordinator | NavigationRootCoordinator.swift:149 | spans: root
2025-08-01T09:23:23.800365Z  INFO elementx: Sentry configured (enabled: false) | AppCoordinator.swift:1307 | spans: root
2025-08-01T09:23:23.802554Z  INFO elementx: [NotificationManager] app setting 'enableNotifications' is 'true' | NotificationManager.swift:65 | spans: root
2025-08-01T09:23:23.802600Z  INFO elementx: [NotificationManager] 🔄 Setting up VoIP Push Registry | NotificationManager.swift:378 | spans: root
2025-08-01T09:23:23.802852Z  INFO elementx: [NotificationManager] ✅ VoIP Push Registry configured | NotificationManager.swift:384 | spans: root
2025-08-01T09:23:23.803173Z  WARN elementx: Resetting the AppSettings. | AppSettings.swift:75 | spans: root
2025-08-01T09:23:23.804767Z  WARN elementx: Resetting the UserSessionStore. All accounts will be affected. | UserSessionStore.swift:37 | spans: root
2025-08-01T09:23:23.805195Z  WARN elementx: Removing all user restoration tokens. | KeychainController.swift:86 | spans: root
2025-08-01T09:23:23.806754Z  INFO elementx: Reachability changed to reachable | AppCoordinator.swift:1176 | spans: root
2025-08-01T09:23:23.807602Z  INFO elementx: Register background app refresh with result: true | AppCoordinator.swift:1486 | spans: root
2025-08-01T09:23:23.839501Z  INFO elementx: Reachability changed to reachable | AppCoordinator.swift:1176 | spans: root
2025-08-01T09:23:23.847515Z  INFO elementx: Transitioning from `initial` to `signedOut` with event `startWithAuthentication` | AppCoordinatorStateMachine.swift:92 | spans: root
2025-08-01T09:23:23.849941Z  INFO elementx: NavigationStackCoordinator(ElementX.LoginScreenCoordinator) Set root: ElementX.LoginScreenCoordinator | NavigationCoordinators.swift:759 | spans: root
2025-08-01T09:23:23.850066Z  INFO elementx: NavigationRootCoordinator(NavigationStackCoordinator(ElementX.LoginScreenCoordinator) Set root: NavigationStackCoordinator(ElementX.LoginScreenCoordinator) | NavigationRootCoordinator.swift:149 | spans: root
2025-08-01T09:23:23.850294Z  INFO elementx: Transitioning from `initial` to `startScreen` with event `Optional(ElementX.AuthenticationFlowCoordinator.Event.start)`. | AuthenticationFlowCoordinator.swift:259 | spans: root
2025-08-01T09:23:23.886902Z  INFO elementx: Auto-configuring server: matrix.aibots.kz | LoginScreenViewModel.swift:184 | spans: root
2025-08-01T09:23:23.906512Z  INFO elementx: Starting server configuration for: matrix.aibots.kz | AuthenticationService.swift:46 | spans: root
2025-08-01T09:23:23.906575Z  INFO elementx: Creating client builder for: matrix.aibots.kz | AuthenticationService.swift:50 | spans: root
2025-08-01T09:23:23.906831Z  INFO elementx: Building client for: matrix.aibots.kz | AuthenticationService.swift:53 | spans: root
2025-08-01T09:23:23.915403Z DEBUG matrix_sdk::client::builder: Starting to build the Client | crates/matrix-sdk/src/client/builder/mod.rs:506 | spans: root > build
2025-08-01T09:23:23.974783Z  INFO elementx: [NotificationManager] 📲 VoIP push token received: DkdNt17HWwY4iDYqArua... | NotificationManager.swift:576 | spans: root
2025-08-01T09:23:23.974819Z  INFO elementx: [AppCoordinator] 📲 VoIP token updated: DkdNt17HWwY4iDYqArua... | AppCoordinator.swift:466 | spans: root
2025-08-01T09:23:23.974834Z  INFO elementx: [NotificationManager] 📝 No user session yet - VoIP token stored for later registration | NotificationManager.swift:594 | spans: root
2025-08-01T09:23:24.009712Z  INFO elementx: Application did become active | AppCoordinator.swift:1459 | spans: root
2025-08-01T09:23:24.185068Z DEBUG matrix_sdk::client::builder::homeserver_config: Trying to discover the homeserver | crates/matrix-sdk/src/client/builder/homeserver_config.rs:175 | spans: root > build{homeserver=ServerNameOrHomeserverUrl("matrix.aibots.kz")}
2025-08-01T09:23:24.187204Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: root > build{homeserver=ServerNameOrHomeserverUrl("matrix.aibots.kz")} > send{request_id="REQ-0" method=GET uri="https://matrix.aibots.kz/.well-known/matrix/client"}
2025-08-01T09:23:24.715479Z DEBUG matrix_sdk::http_client: Got response | crates/matrix-sdk/src/http_client/mod.rs:214 | spans: root > build{homeserver=ServerNameOrHomeserverUrl("matrix.aibots.kz")} > send{request_id="REQ-0" method=GET uri="https://matrix.aibots.kz/.well-known/matrix/client" status=200 response_size="2.0k"}
2025-08-01T09:23:24.716607Z DEBUG matrix_sdk::client::builder::homeserver_config: Discovered the homeserver homeserver_url="https://matrix.aibots.kz" | crates/matrix-sdk/src/client/builder/homeserver_config.rs:197 | spans: root > build{homeserver=ServerNameOrHomeserverUrl("matrix.aibots.kz")}
2025-08-01T09:23:24.717568Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: root > build{homeserver=ServerNameOrHomeserverUrl("matrix.aibots.kz")} > send{request_id="REQ-1" method=GET uri="https://matrix.aibots.kz/_matrix/client/versions"}
2025-08-01T09:23:24.813507Z DEBUG matrix_sdk::http_client: Got response | crates/matrix-sdk/src/http_client/mod.rs:214 | spans: root > build{homeserver=ServerNameOrHomeserverUrl("matrix.aibots.kz")} > send{request_id="REQ-1" method=GET uri="https://matrix.aibots.kz/_matrix/client/versions" status=200 response_size="1.1k"}
2025-08-01T09:23:24.814385Z  INFO matrix_sdk::client::builder: selected sliding sync version version=Native | crates/matrix-sdk/src/client/builder/mod.rs:557 | spans: root > build{homeserver=ServerNameOrHomeserverUrl("matrix.aibots.kz")}
2025-08-01T09:23:24.819753Z DEBUG matrix_sdk::client::builder: Done building the Client | crates/matrix-sdk/src/client/builder/mod.rs:610 | spans: root > build{homeserver=ServerNameOrHomeserverUrl("matrix.aibots.kz")}
2025-08-01T09:23:24.825133Z  INFO elementx: Getting homeserver login details for: matrix.aibots.kz | AuthenticationService.swift:56 | spans: root
2025-08-01T09:23:24.830766Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: root > send{request_id="REQ-2" method=GET uri="https://matrix.aibots.kz/_matrix/client/versions"}
2025-08-01T09:23:24.930601Z DEBUG matrix_sdk::http_client: Got response | crates/matrix-sdk/src/http_client/mod.rs:214 | spans: root > send{request_id="REQ-2" method=GET uri="https://matrix.aibots.kz/_matrix/client/versions" status=200 response_size="1.1k"}
2025-08-01T09:23:24.930989Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: send{request_id="REQ-3" method=GET uri="https://matrix.aibots.kz/.well-known/matrix/client"}
2025-08-01T09:23:24.988335Z DEBUG matrix_sdk::http_client: Got response | crates/matrix-sdk/src/http_client/mod.rs:214 | spans: send{request_id="REQ-3" method=GET uri="https://matrix.aibots.kz/.well-known/matrix/client" status=200 response_size="2.0k"}
2025-08-01T09:23:24.997280Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: root > send{request_id="REQ-4" method=GET uri="https://matrix.aibots.kz/_matrix/client/unstable/org.matrix.msc2965/auth_metadata"}
2025-08-01T09:23:25.044927Z DEBUG matrix_sdk::http_client: Error while sending request: Api(Server(ClientApi(Error { status_code: 404, body: Standard { kind: Unrecognized, message: "Unrecognized request" } }))) | crates/matrix-sdk/src/http_client/mod.rs:218 | spans: root > send{request_id="REQ-4" method=GET uri="https://matrix.aibots.kz/_matrix/client/unstable/org.matrix.msc2965/auth_metadata" status=404 response_size="59B"}
2025-08-01T09:23:25.045821Z ERROR matrix_sdk_ffi::client: Failed to fetch OIDC provider metadata: OAuth 2.0 is not supported by the homeserver | bindings/matrix-sdk-ffi/src/client.rs:337 | spans: root
2025-08-01T09:23:25.046519Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: root > send{request_id="REQ-5" method=GET uri="https://matrix.aibots.kz/_matrix/client/v3/login"}
2025-08-01T09:23:25.081946Z DEBUG matrix_sdk::http_client: Got response | crates/matrix-sdk/src/http_client/mod.rs:214 | spans: root > send{request_id="REQ-5" method=GET uri="https://matrix.aibots.kz/_matrix/client/v3/login" status=200 response_size="78B"}
2025-08-01T09:23:25.086556Z  INFO elementx: Sliding sync version: native | AuthenticationService.swift:59 | spans: root
2025-08-01T09:23:25.086688Z  INFO elementx: Supports OIDC login: false | AuthenticationService.swift:60 | spans: root
2025-08-01T09:23:25.086758Z  INFO elementx: Supports password login: true | AuthenticationService.swift:61 | spans: root
2025-08-01T09:23:25.086814Z  INFO elementx: Setting login mode to password | AuthenticationService.swift:67 | spans: root
2025-08-01T09:23:25.086867Z  INFO elementx: Storing client and sending homeserver update | AuthenticationService.swift:83 | spans: root
2025-08-01T09:23:25.086980Z  INFO elementx: Server configuration completed successfully for: matrix.aibots.kz | AuthenticationService.swift:87 | spans: root
2025-08-01T09:23:25.132146Z  INFO elementx: Successfully auto-configured homeserver. Login mode: password | LoginScreenViewModel.swift:220 | spans: root
2025-08-01T09:23:26.513527Z  INFO elementx: Reachability changed to reachable | AppCoordinator.swift:1176 | spans: root
2025-08-01T09:23:33.817494Z  INFO elementx: [NotificationManager] 🏥 Performing VoIP health check | NotificationManager.swift:484 | spans: root
2025-08-01T09:23:33.818191Z  INFO elementx: [NotificationManager] ✅ HEALTH CHECK: VoIP token available | NotificationManager.swift:494 | spans: root
2025-08-01T09:23:33.818330Z  INFO elementx: [NotificationManager] ℹ️ HEALTH CHECK: No user session yet, VoIP pusher will register on login | NotificationManager.swift:499 | spans: root
2025-08-01T09:23:36.885066Z  INFO elementx: Starting login with password using ServerConfirmation flow logic | LoginScreenViewModel.swift:243 | spans: root
2025-08-01T09:23:36.893884Z  INFO elementx: Authentication service reset before login attempt | LoginScreenViewModel.swift:248 | spans: root
